Start Rank,End Rank,Wins,Number of Resulting Banzuke at End Rank,Sanyaku Results
j1e,m12w,8,7,"[{""y"": 0, ""o"": 0, ""s"": 0, ""k"": 0}, {""y"": 0, ""o"": 0, ""s"": 0, ""k"": 0}, {""y"": 0, ""o"": 0, ""s"": 0, ""k"": 0}, {""y"": 0, ""o"": 0, ""s"": 0, ""k"": 0}, {""y"": 0, ""o"": 0, ""s"": 0, ""k"": 0}, {""y"": 0, ""o"": 0, ""s"": 0, ""k"": 0}, {""y"": 0, ""o"": 0, ""s"": 0, ""k"": 0}]"
j1e,m12w,9,6,"[{""y"": 0, ""o"": 0, ""s"": 0, ""k"": 0}, {""y"": 0, ""o"": 0, ""s"": 0, ""k"": 0}, {""y"": 0, ""o"": 0, ""s"": 0, ""k"": 0}, {""y"": 0, ""o"": 0, ""s"": 0, ""k"": 0}, {""y"": 0, ""o"": 0, ""s"": 0, ""k"": 0}, {""y"": 0, ""o"": 0, ""s"": 0, ""k"": 0}]"
j1e,m12w,10,3,"[{""y"": 0, ""o"": 0, ""s"": 0, ""k"": 0}, {""y"": 0, ""o"": 0, ""s"": 0, ""k"": 0}, {""y"": 0, ""o"": 0, ""s"": 0, ""k"": 0}]"
j1e,m12w,11,1,"[{""y"": 0, ""o"": 0, ""s"": 0, ""k"": 0}]"
j1e,m12w,12,1,"[{""y"": 0, ""o"": 0, ""s"": 0, ""k"": 0}]"
j1e,m12w,13,1,"[{""y"": 0, ""o"": 0, ""s"": 0, ""k"": 0}]"
,,TOTAL,19,
#,#,#,#,#
j1e,m13e,8,10,"[{""y"": 0, ""o"": 0, ""s"": 0, ""k"": 0}, {""y"": 0, ""o"": 0, ""s"": 0, ""k"": 0}, {""y"": 0, ""o"": 0, ""s"": 0, ""k"": 0}, {""y"": 0, ""o"": 0, ""s"": 0, ""k"": 0}, {""y"": 0, ""o"": 0, ""s"": 0, ""k"": 0}, {""y"": 0, ""o"": 0, ""s"": 0, ""k"": 0}, {""y"": 0, ""o"": 0, ""s"": 0, ""k"": 0}, {""y"": 0, ""o"": 0, ""s"": 0, ""k"": 0}, {""y"": 0, ""o"": 0, ""s"": 0, ""k"": 0}, {""y"": 0, ""o"": 0, ""s"": 0, ""k"": 0}]"
j1e,m13e,9,6,"[{""y"": 0, ""o"": 0, ""s"": 0, ""k"": 0}, {""y"": 0, ""o"": 0, ""s"": 0, ""k"": 0}, {""y"": 0, ""o"": 0, ""s"": 0, ""k"": 0}, {""y"": 0, ""o"": 0, ""s"": 0, ""k"": 0}, {""y"": 0, ""o"": 0, ""s"": 0, ""k"": 0}, {""y"": 0, ""o"": 0, ""s"": 0, ""k"": 0}]"
j1e,m13e,10,8,"[{""y"": 0, ""o"": 0, ""s"": 0, ""k"": 0}, {""y"": 0, ""o"": 0, ""s"": 0, ""k"": 0}, {""y"": 0, ""o"": 0, ""s"": 0, ""k"": 0}, {""y"": 0, ""o"": 0, ""s"": 0, ""k"": 0}, {""y"": 0, ""o"": 0, ""s"": 0, ""k"": 0}, {""y"": 0, ""o"": 0, ""s"": 0, ""k"": 0}, {""y"": 0, ""o"": 0, ""s"": 0, ""k"": 0}, {""y"": 0, ""o"": 0, ""s"": 0, ""k"": 0}]"
j1e,m13e,11,2,"[{""y"": 0, ""o"": 0, ""s"": 0, ""k"": 0}, {""y"": 0, ""o"": 0, ""s"": 0, ""k"": 0}]"
j1e,m13e,14,1,"[{""y"": 0, ""o"": 0, ""s"": 0, ""k"": 0}]"
,,TOTAL,27,
#,#,#,#,#
j1e,m13w,8,16,"[{""y"": 0, ""o"": 0, ""s"": 0, ""k"": 0}, {""y"": 0, ""o"": 0, ""s"": 0, ""k"": 0}, {""y"": 0, ""o"": 0, ""s"": 0, ""k"": 0}, {""y"": 0, ""o"": 0, ""s"": 0, ""k"": 0}, {""y"": 0, ""o"": 0, ""s"": 0, ""k"": 0}, {""y"": 0, ""o"": 0, ""s"": 0, ""k"": 0}, {""y"": 0, ""o"": 0, ""s"": 0, ""k"": 0}, {""y"": 0, ""o"": 0, ""s"": 0, ""k"": 0}, {""y"": 0, ""o"": 0, ""s"": 0, ""k"": 0}, {""y"": 0, ""o"": 0, ""s"": 0, ""k"": 0}, {""y"": 0, ""o"": 0, ""s"": 0, ""k"": 0}, {""y"": 0, ""o"": 0, ""s"": 0, ""k"": 0}, {""y"": 0, ""o"": 0, ""s"": 0, ""k"": 0}, {""y"": 0, ""o"": 0, ""s"": 0, ""k"": 0}, {""y"": 0, ""o"": 0, ""s"": 0, ""k"": 0}, {""y"": 0, ""o"": 0, ""s"": 0, ""k"": 0}]"
j1e,m13w,9,6,"[{""y"": 0, ""o"": 0, ""s"": 0, ""k"": 0}, {""y"": 0, ""o"": 0, ""s"": 0, ""k"": 0}, {""y"": 0, ""o"": 0, ""s"": 0, ""k"": 0}, {""y"": 0, ""o"": 0, ""s"": 0, ""k"": 0}, {""y"": 0, ""o"": 0, ""s"": 0, ""k"": 0}, {""y"": 0, ""o"": 0, ""s"": 0, ""k"": 0}]"
j1e,m13w,10,2,"[{""y"": 0, ""o"": 0, ""s"": 0, ""k"": 0}, {""y"": 0, ""o"": 0, ""s"": 0, ""k"": 0}]"
j1e,m13w,12,1,"[{""y"": 0, ""o"": 0, ""s"": 0, ""k"": 0}]"
j1e,m13w,14,1,"[{""y"": 0, ""o"": 0, ""s"": 0, ""k"": 0}]"
,,TOTAL,26,
#,#,#,#,#
j1e,m14e,8,10,"[{""y"": 0, ""o"": 0, ""s"": 0, ""k"": 0}, {""y"": 0, ""o"": 0, ""s"": 0, ""k"": 0}, {""y"": 0, ""o"": 0, ""s"": 0, ""k"": 0}, {""y"": 0, ""o"": 0, ""s"": 0, ""k"": 0}, {""y"": 0, ""o"": 0, ""s"": 0, ""k"": 0}, {""y"": 0, ""o"": 0, ""s"": 0, ""k"": 0}, {""y"": 0, ""o"": 0, ""s"": 0, ""k"": 0}, {""y"": 0, ""o"": 0, ""s"": 0, ""k"": 0}, {""y"": 0, ""o"": 0, ""s"": 0, ""k"": 0}, {""y"": 0, ""o"": 0, ""s"": 0, ""k"": 0}]"
j1e,m14e,9,7,"[{""y"": 0, ""o"": 0, ""s"": 0, ""k"": 0}, {""y"": 0, ""o"": 0, ""s"": 0, ""k"": 0}, {""y"": 0, ""o"": 0, ""s"": 0, ""k"": 0}, {""y"": 0, ""o"": 0, ""s"": 0, ""k"": 0}, {""y"": 0, ""o"": 0, ""s"": 0, ""k"": 0}, {""y"": 0, ""o"": 0, ""s"": 0, ""k"": 0}, {""y"": 0, ""o"": 0, ""s"": 0, ""k"": 0}]"
j1e,m14e,10,5,"[{""y"": 0, ""o"": 0, ""s"": 0, ""k"": 0}, {""y"": 0, ""o"": 0, ""s"": 0, ""k"": 0}, {""y"": 0, ""o"": 0, ""s"": 0, ""k"": 0}, {""y"": 0, ""o"": 0, ""s"": 0, ""k"": 0}, {""y"": 0, ""o"": 0, ""s"": 0, ""k"": 0}]"
j1e,m14e,12,1,"[{""y"": 0, ""o"": 0, ""s"": 0, ""k"": 0}]"
j1e,m14e,13,1,"[{""y"": 0, ""o"": 0, ""s"": 0, ""k"": 0}]"
,,TOTAL,24,
#,#,#,#,#
j1e,m14w,8,5,"[{""y"": 0, ""o"": 0, ""s"": 0, ""k"": 0}, {""y"": 0, ""o"": 0, ""s"": 0, ""k"": 0}, {""y"": 0, ""o"": 0, ""s"": 0, ""k"": 0}, {""y"": 0, ""o"": 0, ""s"": 0, ""k"": 0}, {""y"": 0, ""o"": 0, ""s"": 0, ""k"": 0}]"
j1e,m14w,9,3,"[{""y"": 0, ""o"": 0, ""s"": 0, ""k"": 0}, {""y"": 0, ""o"": 0, ""s"": 0, ""k"": 0}, {""y"": 0, ""o"": 0, ""s"": 0, ""k"": 0}]"
j1e,m14w,10,3,"[{""y"": 0, ""o"": 0, ""s"": 0, ""k"": 0}, {""y"": 0, ""o"": 0, ""s"": 0, ""k"": 0}, {""y"": 0, ""o"": 0, ""s"": 0, ""k"": 0}]"
,,TOTAL,11,
#,#,#,#,#
j1e,m15e,8,6,"[{""y"": 0, ""o"": 0, ""s"": 0, ""k"": 0}, {""y"": 0, ""o"": 0, ""s"": 0, ""k"": 0}, {""y"": 0, ""o"": 0, ""s"": 0, ""k"": 0}, {""y"": 0, ""o"": 0, ""s"": 0, ""k"": 0}, {""y"": 0, ""o"": 0, ""s"": 0, ""k"": 0}, {""y"": 0, ""o"": 0, ""s"": 0, ""k"": 0}]"
